Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
CHIPOTLE MEXICAN GRILL #0411,"907 ELLSWORTH DR.,",,SILVER SPRING,20910,03/23/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Food Complaint,CHIPOTLE MEXICAN GRILL,Restaurant,Food,38.9965,-77.026,"(38.9965, -77.026)"
CHIPOTLE MEXICAN GRILL #1449,3333 OLNEY SANDY SPRING RD #101,,OLNEY,20832,07/11/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1533,-77.0661,"(39.1533, -77.0661)"
CHIPOTLE MEXICAN GRILL #0044,7600 OLD GEORGETOWN RD.,,BETHESDA,20814,06/20/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,38.9858,-77.0964,"(38.9858, -77.0964)"
CHIPOTLE MEXICAN GRILL #0411,"907 ELLSWORTH DR.,",,SILVER SPRING,20910,01/19/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL,Restaurant,Food,38.9965,-77.026,"(38.9965, -77.026)"
CHIPOTLE MEXICAN GRILL #1225,10400 OLD GEORGETOWN RD,,BETHESDA,20817,01/18/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,Out of Compliance,In Compliance,Comprehensive,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC.",Restaurant,Food,39.0263,-77.1276,"(39.0263, -77.1276)"
CHIPOTLE MEXICAN GRILL #1449,3333 OLNEY SANDY SPRING RD #101,,OLNEY,20832,11/02/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1533,-77.0661,"(39.1533, -77.0661)"
CHIPOTLE MEXICAN GRILL #2331,205 BOARDWALK PLACE,,GAITHERSBURG,20878,01/21/2022,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1166,-77.1985,"(39.1166, -77.1985)"
CHIPOTLE MEXICAN GRILL #2388,7101 DEMOCRACY BLVD,SPACE #FC17,BETHESDA,20814,06/28/2023,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0221,-77.1471,"(39.0221, -77.1471)"
CHIPOTLE MEXICAN GRILL #0411,"907 ELLSWORTH DR.,",,SILVER SPRING,20910,06/29/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,CHIPOTLE MEXICAN GRILL,Restaurant,Food,38.9965,-77.026,"(38.9965, -77.026)"
CHIPOTLE MEXICAN GRILL #0411,"907 ELLSWORTH DR.,",,SILVER SPRING,20910,04/20/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL,Restaurant,Food,38.9965,-77.026,"(38.9965, -77.026)"
