"date","convenience_store","store","county_number","county","category","category_name","vendor_no","vendor","item","description","pack","liter_size","state_btl_cost","btl_price","bottle_qty","total"
"2014-11-13 00:00:00","",3647,"23","Clinton","1051010","AMERICAN GRAPE BRANDIES","205","E AND J GALLO WINERY",52596,"E & J Vs",12,750,"$5.92","$8.88",12,106.56
"2014-11-13 00:00:00","",3647,"23","Clinton","1051010","AMERICAN GRAPE BRANDIES","205","E AND J GALLO WINERY",52598,"E & J Vs",6,1750,"$11.83","$17.75",6,106.50
"2014-11-13 00:00:00","",3647,"23","Clinton","1071100","AMERICAN COCKTAILS","260","Diageo Americas",58801,"Captain Morgan Long Island Iced Tea",6,1750,"$11.00","$16.50",18,297.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1071100","AMERICAN COCKTAILS","421","Sazerac Co. Inc.",59231,"Ice Box Mudslide",6,1750,"$6.76","$10.14",6,60.84
"2014-11-13 00:00:00","",3647,"23","Clinton","1032200","IMPORTED VODKA - MISC","260","Diageo Americas",64755,"Ciroc Red Berry",12,750,"$19.00","$28.50",24,684.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1081030","COFFEE LIQUEURS","370","Pernod Ricard USA/Austin Nichols",67526,"Kahlua Coffee Liqueur",12,750,"$10.99","$16.49",12,197.88
"2014-11-13 00:00:00","",3647,"23","Clinton","1081200","CREAM LIQUEURS","260","Diageo Americas",68022,"Bailey's Caramel Irish Cream",12,750,"$13.25","$19.88",12,238.56
"2014-11-13 00:00:00","",3647,"23","Clinton","1081700","DISTILLED SPIRITS SPECIALTY","384","Piedmont Distillers",76036,"Midnight Moon Apple Pie",6,750,"$11.00","$16.50",6,99.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1081010","AMERICAN AMARETTO","434","Luxco-St Louis",76486,"Paramount Amaretto",12,750,"$3.38","$5.07",36,182.52
"2014-11-13 00:00:00","",3647,"23","Clinton","1031200","FLAVORED VODKA","260","Diageo Americas",77880,"Smirnoff Sours Watermelon",12,750,"$8.25","$12.38",12,148.56
"2014-11-13 00:00:00","",3647,"23","Clinton","1081300","PEPPERMINT SCHNAPPS","434","Luxco-St Louis",81206,"Paramount Peppermint Schnapps",12,750,"$3.71","$5.57",12,66.84
"2014-11-13 00:00:00","",3647,"23","Clinton","1081330","PEACH SCHNAPPS","65","Jim Beam Brands",82846,"Dekuyper Luscious Peachtree Schnapps",12,750,"$6.30","$9.45",12,113.40
"2014-11-13 00:00:00","",3647,"23","Clinton","1011300","TENNESSEE WHISKIES","85","Brown-Forman Corporation",86670,"Jack Daniel's Tennessee Honey",12,750,"$14.53","$21.80",12,261.60
"2014-11-13 00:00:00","",3647,"23","Clinton","1022100","TEQUILA","395","Proximo",87408,"Jose Cuervo Especial Silver",12,750,"$10.49","$15.74",12,188.88
"2014-11-13 00:00:00","",3678,"77","Polk","1032200","IMPORTED VODKA - MISC","260","Diageo Americas",64759,"Ciroc Red Berry",24,200,"$5.00","$7.50",24,180.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1022100","TEQUILA","434","Luxco-St Louis",87936,"Juarez Tequila Silver",12,750,"$6.50","$9.75",12,117.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1022100","TEQUILA","395","Proximo",89198,"Jose Cuervo Especial Reposado Tequila",6,1750,"$20.25","$30.38",6,182.28
"2014-11-13 00:00:00","",3664,"98","Worth","1012200","SCOTCH WHISKIES","260","Diageo Americas",10008,"Scoresby Rare Scotch",6,1750,"$10.50","$15.75",6,94.50
"2014-11-13 00:00:00","",3664,"98","Worth","1012100","CANADIAN WHISKIES","115","Constellation Wine Company Inc.",11773,"Black Velvet",48,200,"$1.56","$2.34",3,7.02
"2014-11-13 00:00:00","",3664,"98","Worth","1012100","CANADIAN WHISKIES","115","Constellation Wine Company Inc.",11788,"Black Velvet",6,1750,"$9.70","$14.93",6,89.58
"2014-11-13 00:00:00","",3664,"98","Worth","1012100","CANADIAN WHISKIES","65","Jim Beam Brands",15248,"Windsor Canadian Pet",6,1750,"$8.92","$13.38",6,80.28
"2014-11-13 00:00:00","",3664,"98","Worth","1012100","CANADIAN WHISKIES","65","Jim Beam Brands",15296,"Windsor Canadian Traveler",12,750,"$4.20","$6.30",12,75.60
"2014-11-13 00:00:00","",3664,"98","Worth","1011200","STRAIGHT BOURBON WHISKIES","206","Panther Distillery",27664,"Minnesota 14",6,750,"$17.84","$26.76",3,80.28
"2014-11-13 00:00:00","",3664,"98","Worth","1011200","STRAIGHT BOURBON WHISKIES","315","Patriarch Distillers",27740,"Soldier Valley Bourbon",6,750,"$20.17","$30.26",3,90.78
"2014-11-13 00:00:00","",3664,"98","Worth","1032200","IMPORTED VODKA - MISC","370","Pernod Ricard USA/Austin Nichols",34026,"Absolut Peppar",12,750,"$11.49","$17.24",3,51.72
"2014-11-13 00:00:00","",3664,"98","Worth","1032080","IMPORTED VODKA","65","Jim Beam Brands",35242,"Pinnacle",12,1000,"$9.45","$14.18",12,170.16
"2014-11-13 00:00:00","",3664,"98","Worth","1031080","80 PROOF VODKA","55","Sazerac North America",35318,"Barton Vodka",6,1750,"$6.92","$10.38",12,124.56
