2422,Marriott Corp.,A,"700 Grand Avenue
Des Moines, IA 503090000
(41.58745016800003, -93.62662445399997)",
2433,Medicine Chest,I,"1607 East 7th Street
Atlantic, IA 500220000
(41.40384514900006, -94.99012438299997)",
2444,Monticello Family Foods,I,"120 North Sycamore St
Monticello, IA 523100000
(42.238470353000025, -91.18830833699997)",
2445,Ruback's Food Center,A,"504 South Highway
Oakland, IA 515600000
(41.308933170000046, -95.39709613499997)",
2448,Bottle Boutique,A,"705 E. Second
Indianola, IA 501250000
(41.358162754000034, -93.55264074099995)",
2449,Phar-mor / Marion,I,"1400 Twixt-town Road
Marion, IA 523020000
(42.02797841200004, -91.62406436299995)",
2451,Lpc Liquor Store,I,"504 Hwy 218 N
La Porte City, IA 506510000
(42.31937401500005, -92.19700023499996)",
2453,The Beverage Shop,I,"211 E. Main Street
Belmond, IA 504210000
(42.84593718100007, -93.61514050699998)",
2459,Reinhart Foods,A,"200 State Po Box 98
Guthrie Center, IA 501150000
(41.67722267500005, -94.50525055399999)",
2460,"Liquor Barn, Inc.",A,"721 Central Avenue West
Hampton, IA 504410000
(42.74176629600004, -93.21693034799995)",Po 443 Stn  Rr
2465,Sid's Beverage Shop,A,"2727 Dodge St
Dubuque, IA 520030000
(42.49202676200008, -90.70694087699997)",
2466,Siouxland Beverage,I,"1203 5th Street
Sioux City, IA 511010000
(42.49537733200003, -96.39465050299998)",
2468,Valley Liquor,I,"Highway 71, Po Box 352
Sioux Rapids, IA 505850000
(42.89224061600004, -95.15167770199997)",
2475,"Private Cellar, Inc.",A,"206 2nd Ave Ne
West Bend, IA 505970000
(42.96312885100008, -94.44296280799995)",
2478,Prairie Meadows,A,"One Prairie Meadows Drive
Altoona, IA 500090000
(41.658442627000056, -93.49320109999996)",
2485,Discount Liquors Of Iowa,I,"1213 Broadway
Denison, IA 514420000
(42.01672496700007, -95.35635169199998)",
2487,Anamosa Family Foods,A,"402 East Main
Anamosa, IA 522050000
(42.10829952900008, -91.28179492699996)",
2493,Cyclone Liquors,I,"626 Lincolnway
Ames, IA 500100000
(42.025342667000075, -93.62019874499998)",
2498,Charley's Quik Shop,A,"910 Main St
Arlington, IA 506060000
(42.75104446900008, -91.67482583399999)",
2500,Hy-Vee Food Store #1 / Ames,A,"3800 W Lincoln Way
Ames, IA 500100000
(42.022836606000055, -93.66905148999996)",
2501,Hy-vee  #2 / Ames,A,"640 Lincolnway
Ames, IA 500100000
(42.025342667000075, -93.62019874499998)",
2502,Hy-Vee Wine and Spirits / Ankeny,A,"410 North Ankeny Blvd
Ankeny, IA 500210000
(41.73459275100004, -93.60048153699995)",
2503,Hy-vee Drugstore / Ankeny,A,"849 South Ankeny Blvd.
Ankeny, IA 500210000
(41.72219006600005, -93.60043239599997)",
