904786,SINGLE MALT SCOTCH,Dt Glendronach 33yr Three Generations,391,Anchor Distilling (preiss Imports),750,1,1,,102,2009-12-09 00:00:00,,,$160.50,240.75,160.50
904787,CREAM LIQUEURS,E & J Caramel Temptation,205,E And J Gallo Winery,750,12,1,,34,2010-06-21 00:00:00,,,$5.99,8.99,71.92
904788,80 PROOF VODKA,Charbay Clear Vodka,155,Domaine Charbay,750,6,1,,80,2010-06-10 00:00:00,,,$21.50,32.25,129.00
904789,SCOTCH WHISKIES,Bruichladdich Torrey Pines 15yr,501,Winebow Inc.,750,6,1,,92,2009-04-29 00:00:00,,,$48.28,72.42,289.70
904790,SCOTCH WHISKIES,Macallan 12yr Scotch Mini,305,Mhw Ltd,600,10,12,,86,2010-06-25 00:00:00,,904790,$36.26,54.39,362.53
904791,IMPORTED GRAPE BRANDIES,Courvoisier Xo,65,Jim Beam Brands,750,6,1,,80,2010-07-06 00:00:00,80686965022,10080700000000,$83.99,125.99,503.96
904792,TEQUILA,Sauza Tres Generaciones Anejo DNO,65,Jim Beam Brands,750,6,1,,80,2010-07-06 00:00:00,,,$23.62,35.43,141.72
904793,AMERICAN COCKTAILS,Tooters Red Diculous On The Beach,308,Mango Bottling Inc.,375,12,1,,30,2009-04-28 00:00:00,,,$4.94,7.41,59.25
904794,SINGLE MALT SCOTCH,Laphroaig Quarter Cask,65,Jim Beam Brands,750,6,1,,96,2010-07-06 00:00:00,,904794,$29.39,44.09,176.36
904795,SCOTCH WHISKIES,Dimple Pinch(haig & Haig),260,Diageo Americas,750,12,1,,80,2010-07-06 00:00:00,,904795,$21.24,31.86,254.90
904796,SCOTCH WHISKIES,Johnnie Walker Gold DNO,260,Diageo Americas,750,12,1,,80,2010-06-09 00:00:00,,,$49.85,74.78,598.15
904797,SCOTCH WHISKIES,Ardbeg Airigh Nam Beist,420,Moet Hennessy Usa Inc.,750,6,1,,92,2010-07-06 00:00:00,,,$42.58,63.87,255.48
904798,CANADIAN WHISKIES,Paramount Canadian Whiskey,350,Luxco-cleveland,1750,6,1,,80,2009-04-27 00:00:00,,,$8.88,13.32,53.26
904799,FLAVORED VODKA,Burnett's Watermelon,259,Heaven Hill Distilleries Inc.,750,12,1,,70,2010-04-27 00:00:00,,10096700000000,$4.83,7.25,58.00
904800,PUERTO RICO & VIRGIN ISLANDS RUM,Pyrat Xo Reserve,410,The Patron Spirits Company,750,6,1,,80,2010-07-08 00:00:00,721734000000,10721700000000,$13.08,19.62,78.50
904801,IMPORTED VODKA,Pinnacle Banana(dno),298,White Rock Distilleries Inc.,750,12,1,,70,2010-07-12 00:00:00,,10089700000000,$7.38,11.07,88.55
904802,TEQUILA,Lunazul Tequila Reposado,259,Heaven Hill Distilleries Inc.,750,12,1,,80,2010-07-12 00:00:00,,904802,$10.63,15.95,127.60
