series,episode,baker,outcome,signature_handshake,technical,showstopper_handshake,signature_ingredients,showstopper_ingredients
4,3,Mark,OUT,No,11,No,NULL,NULL
4,3,Robert,IN,No,2,No,NULL,NULL
4,3,Ruby,IN,No,3,No,NULL,NULL
4,3,Toby,NULL,NULL,NULL,NULL,NULL,NULL
4,4,Ali,OUT,No,8,No,NULL,NULL
4,4,Beca,IN,No,2,No,NULL,NULL
4,4,Christine,IN,No,7,No,NULL,NULL
4,4,Deborah,NULL,NULL,NULL,NULL,NULL,NULL
4,4,Frances,IN,No,1,No,NULL,NULL
4,4,Glenn,IN,No,9,No,NULL,NULL
4,4,Howard,IN,No,5,No,NULL,NULL
4,4,Kimberley,STARBAKER,No,4,No,NULL,NULL
4,4,Lucy,NULL,NULL,NULL,NULL,NULL,NULL
4,4,Mark,NULL,NULL,NULL,NULL,NULL,NULL
4,4,Robert,IN,No,3,No,NULL,NULL
4,4,Ruby,IN,No,6,No,NULL,NULL
4,4,Toby,NULL,NULL,NULL,NULL,NULL,NULL
4,5,Ali,NULL,NULL,NULL,NULL,NULL,NULL
4,5,Beca,IN,No,5,No,NULL,NULL
4,5,Christine,STARBAKER,No,1,No,NULL,NULL
4,5,Deborah,NULL,NULL,NULL,NULL,NULL,NULL
4,5,Frances,IN,No,3,No,NULL,NULL
4,5,Glenn,IN,No,2,No,NULL,NULL
4,5,Howard,IN,No,8,No,NULL,NULL
4,5,Kimberley,IN,No,7,No,NULL,NULL
4,5,Lucy,NULL,NULL,NULL,NULL,NULL,NULL
4,5,Mark,NULL,NULL,NULL,NULL,NULL,NULL
4,5,Robert,OUT,No,4,No,NULL,NULL
4,5,Ruby,IN,No,6,No,NULL,NULL
4,5,Toby,NULL,NULL,NULL,NULL,NULL,NULL
4,6,Ali,NULL,NULL,NULL,NULL,NULL,NULL
4,6,Beca,IN,No,6,No,NULL,NULL
4,6,Christine,IN,No,4,No,NULL,NULL
4,6,Deborah,NULL,NULL,NULL,NULL,NULL,NULL
4,6,Frances,IN,No,2,No,NULL,NULL
4,6,Glenn,IN,No,5,No,NULL,NULL
4,6,Howard,OUT,No,7,No,NULL,NULL
4,6,Kimberley,IN,No,3,No,NULL,NULL
4,6,Lucy,NULL,NULL,NULL,NULL,NULL,NULL
4,6,Mark,NULL,NULL,NULL,NULL,NULL,NULL
4,6,Robert,NULL,NULL,NULL,NULL,NULL,NULL
4,6,Ruby,STARBAKER,No,1,No,NULL,NULL
4,6,Toby,NULL,NULL,NULL,NULL,NULL,NULL
4,7,Ali,NULL,NULL,NULL,NULL,NULL,NULL
4,7,Beca,IN,No,1,No,NULL,NULL
4,7,Christine,IN,No,6,No,NULL,NULL
4,7,Deborah,NULL,NULL,NULL,NULL,NULL,NULL
4,7,Frances,STARBAKER,No,5,No,NULL,NULL
4,7,Glenn,OUT,No,3,No,NULL,NULL
4,7,Howard,NULL,NULL,NULL,NULL,NULL,NULL
4,7,Kimberley,IN,No,4,No,NULL,NULL
4,7,Lucy,NULL,NULL,NULL,NULL,NULL,NULL
4,7,Mark,NULL,NULL,NULL,NULL,NULL,NULL
4,7,Robert,NULL,NULL,NULL,NULL,NULL,NULL
4,7,Ruby,IN,No,2,No,NULL,NULL
4,7,Toby,NULL,NULL,NULL,NULL,NULL,NULL
4,8,Ali,NULL,NULL,NULL,NULL,NULL,NULL
4,8,Beca,IN,No,4,No,NULL,NULL
4,8,Christine,OUT,No,5,No,NULL,NULL
4,8,Deborah,NULL,NULL,NULL,NULL,NULL,NULL
4,8,Frances,IN,No,3,No,NULL,NULL
4,8,Glenn,NULL,NULL,NULL,NULL,NULL,NULL
4,8,Howard,NULL,NULL,NULL,NULL,NULL,NULL
4,8,Kimberley,IN,No,2,No,NULL,NULL
4,8,Lucy,NULL,NULL,NULL,NULL,NULL,NULL
4,8,Mark,NULL,NULL,NULL,NULL,NULL,NULL
4,8,Robert,NULL,NULL,NULL,NULL,NULL,NULL
4,8,Ruby,STARBAKER,No,1,No,NULL,NULL
4,8,Toby,NULL,NULL,NULL,NULL,NULL,NULL
